config,dataset,group,filter,loss_mode,train_reduction,test_mean,test_std,test_n,steps,wall_s,converged,per_pair_reductions
level3_tone_curve_backbone_mid_proj,level_1_vs_level_3,backbone.mid+proj,tone_curve(P=16),,0.0414,0.0548,0.0108,6,1872,78.4,True,0.0684;0.0614;0.0528;0.0626;0.0361;0.0472
level3_tone_curve_backbone_mid,level_1_vs_level_3,backbone.mid,tone_curve(P=16),,0.0297,0.0446,0.0090,6,1872,72.7,True,0.0514;0.0516;0.0523;0.0480;0.0298;0.0344
level3_tone_curve_proj_decoder,level_1_vs_level_3,proj+decoder,tone_curve(P=16),,0.0246,0.0351,0.0095,6,4032,123.8,True,0.0417;0.0394;0.0438;0.0391;0.0160;0.0305
level3_tone_curve_projector,level_1_vs_level_3,projector,tone_curve(P=16),,0.1578,0.1830,0.0550,6,2592,64.7,True,0.2032;0.1913;0.1237;0.2531;0.0983;0.2283
p2_lut3d_s13_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=13),,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_lut3d_s13_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_lut3d_s13_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=13),,0.1110,0.2213,0.0872,6,1872,92.2,True,0.2942;0.2361;0.2247;0.2602;0.0335;0.2789
p2_lut3d_s17_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=17),,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_lut3d_s17_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_lut3d_s17_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=17),,0.1151,0.2187,0.0706,6,1872,91.1,True,0.2863;0.1933;0.2780;0.2566;0.0783;0.2196
p2_stc_P12_g3_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=12,grid_size=3)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P12_g3_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P12_g3_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=12,grid_size=3)",,0.1838,0.2212,0.0839,6,4176,246.3,True,0.3126;0.2746;0.1904;0.2339;0.0532;0.2626
p2_stc_P12_g4_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=12,grid_size=4)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P12_g4_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P12_g4_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=12,grid_size=4)",,0.1903,0.2343,0.0804,6,3312,186.9,True,0.3328;0.2911;0.1950;0.2328;0.0829;0.2709
p2_stc_P12_g5_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=12,grid_size=5)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P12_g5_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P12_g5_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=12,grid_size=5)",,0.1996,0.2392,0.0843,6,3312,197.5,True,0.3214;0.2828;0.2493;0.2323;0.0617;0.2876
p2_stc_P16_g3_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=16,grid_size=3)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P16_g3_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P16_g3_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=16,grid_size=3)",,0.1835,0.2275,0.0800,6,3312,200.9,True,0.3201;0.2720;0.1998;0.2356;0.0684;0.2688
p2_stc_P16_g4_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=16,grid_size=4)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P16_g4_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P16_g4_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=16,grid_size=4)",,0.1990,0.2451,0.0791,6,5040,290.3,True,0.3358;0.2939;0.2266;0.2470;0.0860;0.2812
p2_stc_P16_g5_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=16,grid_size=5)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P16_g5_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P16_g5_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=16,grid_size=5)",,0.2066,0.2439,0.0794,6,4608,256.8,True,0.3376;0.2763;0.2438;0.2393;0.0816;0.2848
p2_stc_P8_g4_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=4)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P8_g4_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P8_g4_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=4)",,0.1864,0.2286,0.0818,6,3312,187.5,True,0.3247;0.2827;0.1966;0.2348;0.0684;0.2644
p2_stc_P8_g5_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=5)",,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_stc_P8_g5_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_stc_P8_g5_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=5)",,0.2043,0.2420,0.0777,6,7200,335.8,False,0.3181;0.2701;0.2387;0.2750;0.0760;0.2738
p2_tone_P16_lv2,level_1_vs_level_2,phase2_group,tone_curve(P=16),,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_tone_P16_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_tone_P16_lv3,level_1_vs_level_3,phase2_group,tone_curve(P=16),,0.1578,0.1830,0.0550,6,2592,120.0,True,0.2032;0.1913;0.1238;0.2531;0.0983;0.2284
p2_tone_P24_lv2,level_1_vs_level_2,phase2_group,tone_curve(P=24),,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_tone_P24_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_tone_P24_lv3,level_1_vs_level_3,phase2_group,tone_curve(P=24),,0.1642,0.1839,0.0676,6,2592,118.9,True,0.1988;0.2151;0.1392;0.2567;0.0569;0.2369
p2_tone_P32_lv2,level_1_vs_level_2,phase2_group,tone_curve(P=32),,0.0,0.0,0.0,0,0,0.0,False,ERROR: Config 'p2_tone_P32_lv2': no train/test pairs under data/datasets/level_1_vs_level_2
p2_tone_P32_lv3,level_1_vs_level_3,phase2_group,tone_curve(P=32),,0.1669,0.1834,0.0602,6,2592,111.2,True,0.1975;0.1968;0.1437;0.2562;0.0735;0.2326
p2_lut3d_s13_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=13),,0.2526,0.3011,0.1008,6,984,41.3,True,0.3981;0.4049;0.1924;0.2964;0.1453;0.3698
p2_lut3d_s13_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=13),,0.1091,0.2243,0.0921,6,1872,83.1,True,0.3076;0.2225;0.2775;0.2586;0.0266;0.2531
p2_lut3d_s17_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=17),,0.2765,0.3002,0.0930,6,1435,63.8,True,0.3928;0.4053;0.2050;0.2688;0.1652;0.3639
p2_lut3d_s17_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=17),,0.1164,0.2161,0.0649,6,1872,83.0,True,0.2873;0.1719;0.2655;0.2492;0.0954;0.2274
p2_stc_P12_g3_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=12,grid_size=3)",,0.2891,0.3068,0.0868,6,2050,125.9,False,0.3460;0.4006;0.2475;0.3283;0.1443;0.3739
p2_stc_P12_g3_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=12,grid_size=3)",,0.1821,0.2210,0.0858,6,3312,196.5,True,0.3157;0.2766;0.1917;0.2300;0.0495;0.2624
p2_stc_P12_g4_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=12,grid_size=4)",,0.3065,0.3221,0.0854,6,2050,129.4,False,0.3532;0.4176;0.2476;0.3478;0.1725;0.3937
p2_stc_P12_g4_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=12,grid_size=4)",,0.1903,0.2342,0.0803,6,3312,193.3,True,0.3328;0.2911;0.1948;0.2327;0.0831;0.2708
p2_stc_P12_g5_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=12,grid_size=5)",,0.3083,0.3268,0.0961,6,2050,123.2,False,0.3698;0.4242;0.2495;0.3540;0.1527;0.4105
p2_stc_P12_g5_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=12,grid_size=5)",,0.2005,0.2399,0.0832,6,3312,185.9,True,0.3211;0.2837;0.2485;0.2339;0.0649;0.2874
p2_stc_P16_g3_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=16,grid_size=3)",,0.2939,0.3132,0.0889,6,2050,133.9,False,0.3525;0.4153;0.2466;0.3287;0.1525;0.3834
p2_stc_P16_g3_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=16,grid_size=3)",,0.1836,0.2266,0.0802,6,3312,200.9,True,0.3192;0.2715;0.2012;0.2316;0.0670;0.2692
p2_stc_P16_g4_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=16,grid_size=4)",,0.3112,0.3263,0.0875,6,2050,129.6,False,0.3534;0.4283;0.2616;0.3355;0.1716;0.4075
p2_stc_P16_g4_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=16,grid_size=4)",,0.1990,0.2453,0.0789,6,5040,284.2,True,0.3360;0.2941;0.2252;0.2471;0.0873;0.2821
p2_stc_P16_g5_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=16,grid_size=5)",,0.3142,0.3338,0.0932,6,2050,124.3,False,0.3569;0.4306;0.2754;0.3487;0.1621;0.4292
p2_stc_P16_g5_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=16,grid_size=5)",,0.2085,0.2448,0.0862,6,5040,281.2,True,0.3323;0.2771;0.2622;0.2454;0.0618;0.2902
p2_stc_P8_g4_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=4)",,0.2947,0.3240,0.0678,6,2050,122.5,False,0.3493;0.4018;0.2770;0.3149;0.2072;0.3943
p2_stc_P8_g4_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=4)",,0.1863,0.2284,0.0816,6,3312,181.3,True,0.3245;0.2823;0.1962;0.2343;0.0689;0.2641
p2_stc_P8_g5_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=5)",,0.2974,0.3282,0.0815,6,2050,114.4,False,0.3565;0.4060;0.2731;0.3349;0.1806;0.4181
p2_stc_P8_g5_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=5)",,0.1978,0.2395,0.0784,6,4608,191.1,True,0.3243;0.2793;0.2316;0.2508;0.0762;0.2747
p2_tone_P16_lv2,level_1_vs_level_2,phase2_group,tone_curve(P=16),,0.2298,0.2213,0.0620,6,820,39.6,True,0.2778;0.2857;0.1834;0.2006;0.1131;0.2673
p2_tone_P16_lv3,level_1_vs_level_3,phase2_group,tone_curve(P=16),,0.1578,0.1830,0.0549,6,2592,114.5,True,0.2032;0.1913;0.1238;0.2531;0.0983;0.2283
p2_tone_P24_lv2,level_1_vs_level_2,phase2_group,tone_curve(P=24),,0.2339,0.2230,0.0627,6,779,36.0,True,0.2888;0.2820;0.1894;0.1993;0.1123;0.2661
p2_tone_P24_lv3,level_1_vs_level_3,phase2_group,tone_curve(P=24),,0.1642,0.1839,0.0676,6,2592,109.7,True,0.1988;0.2151;0.1392;0.2567;0.0570;0.2368
p2_tone_P32_lv2,level_1_vs_level_2,phase2_group,tone_curve(P=32),,0.2367,0.2194,0.0617,6,738,36.1,True,0.2835;0.2769;0.1874;0.1976;0.1094;0.2618
p2_tone_P32_lv3,level_1_vs_level_3,phase2_group,tone_curve(P=32),,0.1669,0.1834,0.0602,6,2592,75.8,True,0.1976;0.1968;0.1436;0.2561;0.0735;0.2326
p2_lut3d_lr0001_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.2908,0.2867,0.0875,6,2050,92.2,False,0.3741;0.3751;0.1969;0.2778;0.1496;0.3464
p2_lut3d_lr0001_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,0.1901,0.2501,0.0668,6,4752,201.9,True,0.3249;0.2885;0.2387;0.2299;0.1204;0.2983
p2_lut3d_lr001_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.2130,0.2953,0.0851,6,697,29.4,True,0.3583;0.3908;0.2053;0.2986;0.1603;0.3585
p2_lut3d_lr001_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,0.0772,0.2151,0.0531,6,2448,104.2,True,0.2649;0.2262;0.1939;0.2508;0.1075;0.2472
p2_lut3d_reg0001_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.2408,0.2968,0.0827,6,1640,75.2,True,0.3519;0.3883;0.2380;0.2848;0.1514;0.3666
p2_lut3d_reg0001_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,0.1103,0.2403,0.0803,6,2304,99.4,True,0.3224;0.2736;0.2437;0.2362;0.0729;0.2927
p2_lut3d_reg005_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.2305,0.2951,0.0824,6,1640,76.2,True,0.3519;0.3859;0.2280;0.2917;0.1521;0.3608
p2_lut3d_reg005_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,0.1001,0.2368,0.0622,6,1872,82.0,True,0.3243;0.2580;0.2521;0.2284;0.1154;0.2428
p2_stc_lr0001_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.2227,0.2095,0.0468,6,2050,127.6,False,0.2052;0.2549;0.1824;0.2166;0.1280;0.2698
p2_stc_lr0001_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.2175,0.2153,0.0814,6,7200,373.7,False,0.3029;0.2652;0.1751;0.2352;0.0551;0.2586
p2_stc_lr001_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.2680,0.3145,0.0711,6,1845,118.3,True,0.3503;0.3982;0.2627;0.3059;0.1912;0.3783
p2_stc_lr001_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.1446,0.2162,0.0841,6,2160,131.5,True,0.3153;0.2634;0.1883;0.2322;0.0482;0.2497
p2_stc_reg0001_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.2974,0.3154,0.0774,6,2050,134.0,False,0.3457;0.4096;0.2675;0.3052;0.1784;0.3857
p2_stc_reg0001_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.1880,0.2215,0.0868,6,3312,191.1,True,0.3127;0.2739;0.1889;0.2383;0.0467;0.2685
p2_stc_reg005_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.2555,0.2804,0.0607,6,1968,129.0,True,0.3168;0.3411;0.2454;0.2599;0.1742;0.3449
p2_stc_reg005_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.1873,0.2097,0.0822,6,4752,151.3,True,0.2959;0.2578;0.1814;0.2341;0.0424;0.2466
p2_ccm_b1011_proj_lv2,level_1_vs_level_2,phase2_group,ccm_high_order,,0.1468,0.1962,0.0303,6,1722,79.9,True,0.1992;0.2196;0.1328;0.1918;0.2224;0.2116
p2_ccm_b1011_proj_lv3,level_1_vs_level_3,phase2_group,ccm_high_order,,0.0746,0.1878,0.0383,6,2448,107.3,True,0.2130;0.2487;0.1505;0.1896;0.1327;0.1921
p2_ccm_b11_proj_lv2,level_1_vs_level_2,phase2_group,ccm_high_order,,0.1624,0.2191,0.0355,6,1722,79.9,True,0.2245;0.2403;0.1464;0.2093;0.2553;0.2390
p2_ccm_b11_proj_lv3,level_1_vs_level_3,phase2_group,ccm_high_order,,0.0891,0.1941,0.0447,6,2448,107.2,True,0.2268;0.2669;0.1473;0.1880;0.1362;0.1993
p2_ccm_dec_lv2,level_1_vs_level_2,phase2_group,ccm_high_order,,0.0037,0.0241,0.0199,6,533,24.8,True,0.0519;0.0085;0.0493;0.0000;0.0227;0.0122
p2_ccm_dec_lv3,level_1_vs_level_3,phase2_group,ccm_high_order,,-0.0002,0.0097,0.0190,6,1872,78.9,True,0.0379;0.0120;0.0296;-0.0151;0.0006;-0.0069
p2_ccm_proj_dec_lv2,level_1_vs_level_2,phase2_group,ccm_high_order,,0.0536,0.0773,0.0181,6,533,23.5,True,0.0832;0.0657;0.0872;0.0429;0.0870;0.0979
p2_ccm_proj_dec_lv3,level_1_vs_level_3,phase2_group,ccm_high_order,,0.0211,0.0521,0.0142,6,4752,203.2,True,0.0774;0.0535;0.0464;0.0600;0.0322;0.0432
p2_lut3d_b1011_proj_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.1957,0.2544,0.0715,6,820,37.0,True,0.2965;0.3444;0.2113;0.2524;0.1238;0.2978
p2_lut3d_b1011_proj_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,0.0877,0.2333,0.0503,6,3312,143.5,True,0.2847;0.3030;0.2117;0.2100;0.1518;0.2388
p2_lut3d_b11_proj_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.2136,0.2811,0.0746,6,902,41.6,True,0.3222;0.3736;0.2196;0.2896;0.1512;0.3304
p2_lut3d_b11_proj_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,0.0982,0.2456,0.0602,6,3312,143.6,True,0.3143;0.3268;0.2159;0.2158;0.1525;0.2482
p2_lut3d_dec_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.0028,0.0202,0.0123,6,615,29.6,True,0.0178;-0.0027;0.0276;0.0218;0.0189;0.0380
p2_lut3d_dec_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,-0.0029,0.0144,0.0189,6,1728,76.4,True,0.0319;0.0003;0.0394;-0.0131;0.0250;0.0027
p2_lut3d_proj_dec_lv2,level_1_vs_level_2,phase2_group,lut_3d(size=9),,0.0617,0.0897,0.0319,6,1189,54.3,True,0.1117;0.1150;0.0675;0.0931;0.0304;0.1205
p2_lut3d_proj_dec_lv3,level_1_vs_level_3,phase2_group,lut_3d(size=9),,0.0229,0.0621,0.0247,6,3312,162.5,True,0.1042;0.0617;0.0836;0.0438;0.0456;0.0337
p2_stc_b1011_proj_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.2434,0.2444,0.0619,6,2050,125.2,False,0.2627;0.3129;0.2144;0.2477;0.1271;0.3018
p2_stc_b1011_proj_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.1645,0.2166,0.0556,6,7200,421.4,False,0.2667;0.2827;0.1994;0.2215;0.1101;0.2193
p2_stc_b11_proj_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.2669,0.2751,0.0637,6,2050,127.0,False,0.2995;0.3442;0.2380;0.2738;0.1579;0.3371
p2_stc_b11_proj_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.1772,0.2237,0.0694,6,7200,343.6,False,0.2868;0.2996;0.2068;0.2262;0.0869;0.2359
p2_stc_dec_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.0130,0.0058,0.0261,6,1845,122.3,True,0.0494;0.0084;-0.0033;-0.0156;-0.0295;0.0256
p2_stc_dec_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.0095,0.0013,0.0165,6,2448,154.2,True,0.0285;0.0103;0.0054;-0.0133;-0.0225;-0.0008
p2_stc_proj_dec_lv2,level_1_vs_level_2,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.0840,0.0905,0.0146,6,1640,108.9,True,0.1022;0.0799;0.0954;0.0819;0.0702;0.1133
p2_stc_proj_dec_lv3,level_1_vs_level_3,phase2_group,"spatial_tone_curve(P=8,grid_size=3)",,0.0449,0.0546,0.0134,6,2160,109.7,True,0.0742;0.0492;0.0600;0.0532;0.0302;0.0608
det_stc_combined_lv2,level_1_vs_level_2,projector,"spatial_tone_curve(P=16,grid_size=5)",combined,0.1745,0.1877,0.0559,6,1435,45.3,True,0.2308;0.2128;0.1083;0.1984;0.1178;0.2583
det_stc_combined_lv3,level_1_vs_level_3,projector,"spatial_tone_curve(P=16,grid_size=5)",combined,0.0820,0.0973,0.0724,6,5904,175.8,True,0.2414;0.0582;0.1287;0.0855;0.0238;0.0461
det_stc_detection_lv2,level_1_vs_level_2,projector,"spatial_tone_curve(P=16,grid_size=5)",detection,0.1664,0.1728,0.0448,6,943,30.7,True,0.2138;0.1972;0.1134;0.1525;0.1264;0.2334
det_stc_detection_lv3,level_1_vs_level_3,projector,"spatial_tone_curve(P=16,grid_size=5)",detection,0.0770,0.1097,0.0660,6,2736,85.7,True,0.2147;0.1001;0.1540;0.0985;-0.0028;0.0940
